test_name,client_name,target_opcode,source_label,nobs,intercept_runtime_ms,intercept_pvalue,rsquared,rsquared_adj,target_coef_runtime_ms,target_coef_pvalue,target_coef_conf_int_low,target_coef_conf_int_high,param_mod_bits,param_mem_size,msg_words_runtime_ms,msg_words_pvalue,msg_words_conf_int_low,msg_words_conf_int_high,num_rounds_runtime_ms,num_rounds_pvalue,num_rounds_conf_int_low,num_rounds_conf_int_high,param_bn128,num_pairs_runtime_ms,num_pairs_pvalue,num_pairs_conf_int_low,num_pairs_conf_int_high
test_alt_bn128,geth,ECADD,presets[precompile_bn128_add],4092,17.304316992191698,0.001,0.8739359001187168,0.8739050776004085,0.00016918335343986667,0.001,0.0001671175620683147,0.00017115298432734646,,,,,,,,,,,add_negative,,,,
test_alt_bn128,nethermind,ECADD,presets[precompile_bn128_add],1155,27.26918029544805,0.001,0.9088462178924396,0.9087671599721381,0.000266869783417369,0.001,0.0002618442826453193,0.00027166438155572557,,,,,,,,,,,add_negative,,,,
test_alt_bn128,reth,ECADD,presets[precompile_bn128_add],99,25.16188194287541,0.001,0.9774056659131221,0.9771727346338759,0.00035350383405987414,0.001,0.00034478536727449094,0.00036273855142081817,,,,,,,,,,,add_negative,,,,
test_alt_bn128,besu,ECADD,presets[precompile_bn128_add],3652,127.42713269204081,0.001,0.8824308133757656,0.8823986026397042,0.0006554733560795695,0.001,0.0006470391922528575,0.000663646491423887,,,,,,,,,,,double,,,,
test_alt_bn128,erigon,ECADD,presets[precompile_bn128_add],231,55.43032150612839,0.001,0.8542011075536968,0.8535644311674684,0.0007104109539632851,0.001,0.0006822020553404393,0.0007357039895166394,,,,,,,,,,,double,,,,
test_alt_bn128,ethrex,ECADD,presets[precompile_bn128_add],1562,133.95959787408387,0.001,0.827167291801531,0.8270565016039679,0.0005871700664604945,0.001,0.0005732241919778903,0.0006021916734619071,,,,,,,,,,,double,,,,
test_alt_bn128,geth,ECADD,presets[precompile_bn128_add],4092,73.57631444963103,0.001,0.8792413280351192,0.8792118026874506,0.00040452565491434073,0.001,0.0003992731500161548,0.0004092574579497157,,,,,,,,,,,double,,,,
test_alt_bn128,nethermind,ECADD,presets[precompile_bn128_add],1155,48.676701692336025,0.001,0.9282141847329572,0.9281519247023701,0.00047140140644055995,0.001,0.0004633800751846609,0.00047901480643443094,,,,,,,,,,,double,,,,
test_alt_bn128,reth,ECADD,presets[precompile_bn128_add],99,122.70381916577745,0.001,0.8590920595485124,0.8576394003686002,0.0006084142430731078,0.001,0.0005562365113441235,0.0006597934069602788,,,,,,,,,,,double,,,,
test_alt_bn128_benchmark,besu,ECPAIRING,presets[precompile_bn128_pairing],18260,52.656660698988915,0.001,0.8814476802176567,0.8814346931639477,0.045923636740479085,0.001,0.04558326834899907,0.046273953842061406,,,,,,,,,,,,0.026216378545814736,0.001,0.0260671775047517,0.02637949550033111
test_alt_bn128_benchmark,erigon,ECPAIRING,presets[precompile_bn128_pairing],1155,26.838448959141004,0.001,0.7776412380547806,0.7772551985375146,0.050226751633387,0.001,0.048202466141382426,0.052344474319184,,,,,,,,,,,,0.029647445100345608,0.001,0.028203915176568083,0.031016484726263803
test_alt_bn128_benchmark,ethrex,ECPAIRING,presets[precompile_bn128_pairing],7810,110.64086203902393,0.001,0.8117078956558635,0.8116596589184883,0.04761404888935056,0.001,0.04626935549638312,0.048887237925003116,,,,,,,,,,,,0.05889093014471484,0.001,0.05822579487574255,0.059554879668224675
test_alt_bn128_benchmark,geth,ECPAIRING,presets[precompile_bn128_pairing],20460,52.78773175021273,0.001,0.8177984224194544,0.8177806092916664,0.04430221896155336,0.001,0.043876507611219986,0.04474279090575977,,,,,,,,,,,,0.026463999390082336,0.001,0.0262526622028446,0.026673231490713458
test_alt_bn128_benchmark,nethermind,ECPAIRING,presets[precompile_bn128_pairing],5775,79.81473239050159,0.001,0.9342627063107701,0.9342399283157288,0.06640052183175926,0.001,0.06508120131676036,0.06772211519284055,,,,,,,,,,,,0.10229550374464474,0.001,0.10151418025079653,0.10303808245914993
test_alt_bn128_benchmark,reth,ECPAIRING,presets[precompile_bn128_pairing],495,112.0218090441449,0.001,0.8172489560331186,0.816506065610489,0.046879652338244655,0.001,0.04256768495387685,0.05163995791061906,,,,,,,,,,,,0.057951030273978126,0.001,0.05546203904486338,0.06053192985472489
test_alt_bn128_uncachable,besu,ECADD,presets[precompile_bn128_add_uncachable],3652,174.2594005508989,0.001,0.8779145708172775,0.8778811227544877,0.0008978428115047994,0.001,0.0008865650129001485,0.0009085697245536735,,,,,,,,,,,,,,,
test_alt_bn128_uncachable,erigon,ECADD,presets[precompile_bn128_add_uncachable],231,66.82051574297239,0.001,0.935472690794747,0.9351909121519293,0.0010737409718944411,0.001,0.0010359178946505617,0.0011069174159535516,,,,,,,,,,,,,,,
